time,loss,train_time,qtty_records
12.525043249130249,2.210270667821169,2.8518808542000045,10
16.150777578353882,1.88786140345037,1.448630968599997,10
19.76788568496704,1.7112713221460583,1.3721184252000058,10
23.28576421737671,1.6161608662456277,1.3650734629999988,10
26.81554675102234,1.5572005320340396,1.4410322052999902,10
30.334720611572266,1.5114374686032535,1.3890126411999915,10
33.95280194282532,1.4719391983002423,1.4523345307999933,10
37.57261061668396,1.4375785980373623,1.3721742803000097,10
41.1985387802124,1.4061445470899345,1.6345863556999973,10
44.70910286903381,1.3779590157791972,1.4270149917000026,10
48.22482395172119,1.3519175162538886,1.406985713499995,10
51.83739900588989,1.3273773131892086,1.5000307765999992,10
55.360170125961304,1.301682833582163,1.4820234333999907,10
58.98147177696228,1.282024566270411,1.3881876315,10
62.611125469207764,1.2632991379126908,1.6095224419000203,10
66.12813401222229,1.2470218861475588,1.4510580751000077,10
69.6594762802124,1.2300405342131855,1.4244633793999981,10
73.2912540435791,1.2177790284156802,1.4520643833000064,10
76.92595338821411,1.2080551527440546,1.4019162758999983,10
80.54836893081665,1.195000489242375,1.3710422580000057,10
84.06953835487366,1.1855284010991456,1.4224178440999935,10
87.58666253089905,1.181557113863528,1.4239768314000059,10
91.10119032859802,1.1729301931336524,1.3874325861000103,10
94.61530184745789,1.168053273484111,1.4402089288000013,10
98.24035954475403,1.1600790876895188,1.4325509183999998,10
101.85862588882446,1.1538809752091768,1.3603996859999938,10
105.49150514602661,1.1456286104395985,1.4298262216999944,10
109.00867342948914,1.1452097069472076,1.429341312599996,10
112.43396425247192,1.1424755301326515,1.373046093900001,10
115.94946908950806,1.1397832751274108,1.3449572083999954,10
119.47150754928589,1.141249242052436,1.446861199600005,10
122.99066114425659,1.1435303650796413,1.4148018775000026,10
126.50424146652222,1.1397885119542481,1.4058571748999953,10
130.0199098587036,1.143559247814119,1.4159496574999992,10
133.53638076782227,1.1392720235511662,1.4257448883000166,10
137.0520260334015,1.145886785723269,1.4077197733999867,10
140.5668249130249,1.1436041288077832,1.4342903806999971,10
144.18311190605164,1.144071076065302,1.3511548860999938,10
147.71084642410278,1.1459643989801407,1.3725245987999926,10
151.2241063117981,1.1486141096800566,1.4102918163000084,10
154.74816846847534,1.153904894925654,1.385231983999995,10
158.16088032722473,1.1553498787805438,1.4155024815999924,10
161.69365191459656,1.1663308624178172,1.4188922524999896,10
165.2163951396942,1.1640481935814024,1.4220083545999955,10
168.83441758155823,1.1756252959370614,1.3536406731999933,10
172.34986662864685,1.168203576281667,1.3452774615999885,10
175.98114228248596,1.174632685817778,1.3901886614000092,10
179.39900159835815,1.1831321075558663,1.3605779670999936,10
182.92533349990845,1.1842577772215008,1.3409132274000002,10
186.455650806427,1.1891559245064856,1.4076444680000009,10
