time,loss,train_time,qtty_records
15.517313480377197,2.210270670801401,3.212187737399995,10
22.03579354286194,1.8875505048781633,1.770865411099976,10
28.553662300109863,1.7097303159534933,1.8506042652000132,10
34.97842717170715,1.6161528054624796,1.7550453229000822,10
41.49435615539551,1.5581563767045739,1.7124616037000124,10
48.01170539855957,1.5131258584558966,1.8119833462999622,10
54.63731074333191,1.4737426083534957,1.703507827100043,10
61.16560745239258,1.4383259311318397,1.792445431200008,10
67.6812994480133,1.4073569998145103,1.8114761237999801,10
74.19678711891174,1.37792298886925,1.8012748457000043,10
80.71252012252808,1.355359486863017,1.718142564200002,10
87.2238278388977,1.3302223702892662,1.8357492461999754,10
93.73889350891113,1.3036679135635496,1.7422822808999854,10
100.38276743888855,1.281652807816863,1.8899672281999755,10
106.90817189216614,1.2647936705499887,1.7386224575000142,10
113.32412528991699,1.2446032615378502,1.7703823360999649,10
119.83939409255981,1.2329525822773577,1.7597766108000314,10
126.47377467155457,1.2208136716857556,1.7570768247999922,10
132.99274516105652,1.206322449631989,1.7604349158000332,10
139.51145195960999,1.1977066457271577,1.741610214499974,10
146.02591252326965,1.1862765064463021,1.7794237194000062,10
152.6527545452118,1.1787293935194612,1.785201855000014,10
159.17351913452148,1.172462428919971,1.756708287399988,10
165.79474711418152,1.1663374472409487,1.727318514500007,10
172.41677594184875,1.1611891303211452,1.753565903400022,10
178.9351508617401,1.155104135721922,1.738283712500015,10
185.45392656326294,1.1503200851380826,1.7222568779999847,10
191.98447370529175,1.1491913730278611,1.7319792566999923,10
198.60556077957153,1.1467947250232102,1.7445849562000149,10
205.23991870880127,1.1469252996146677,1.7513003656000137,10
211.75712609291077,1.1444529108703136,1.7391109293999762,10
218.27742528915405,1.1466795625165105,1.7995742726000117,10
224.89501309394836,1.1454834248870611,1.734810787499987,10
231.41105842590332,1.1445299450308086,1.759756348499991,10
237.93820524215698,1.1422009248286487,1.7126447931999564,10
244.4679548740387,1.1485779279842974,1.7403406589000041,10
250.99227213859558,1.1445264687761663,1.761960291499986,10
257.61491537094116,1.1502920640632512,1.6726875583000265,10
264.0397210121155,1.1474574126303199,1.7773642206999967,10
270.55705761909485,1.1489248646423222,1.7091613038000333,10
277.1746120452881,1.1548967929556968,1.7153910477999261,10
283.8041203022003,1.1626916401088239,1.8281199210000296,10
290.3199231624603,1.1640891127288344,1.7214178584000137,10
296.8447060585022,1.1650655999779702,1.749915585299982,10
303.46307587623596,1.1702082516625525,1.7498951652000414,10
310.098335981369,1.1757691020146013,1.7673781052000095,10
316.5227355957031,1.1742840718477965,1.7081430174999923,10
323.0517702102661,1.1809180377051234,1.6762809081999877,10
329.7809729576111,1.1835770614445211,1.7839628081999308,10
336.31124114990234,1.1907624999061226,1.749469489800049,10
